store_id,product_id,current_stock,weekly_sales_rate,expiry_date,product_price,weeks_to_expiry,label
S010,P003,766,21.52,2025-09-08,70.45,10.14,1
S016,P001,849,5.64,2025-09-15,12.0,11.14,1
S018,P020,299,52.51,2025-07-08,56.81,1.29,1
S019,P012,317,81.82,2025-07-10,17.96,1.57,1
S001,P013,812,40.94,2025-08-21,47.85,7.57,1
S011,P001,278,62.41,2025-09-09,82.45,10.29,0
S003,P005,152,14.5,2025-08-12,64.73,6.29,1
S010,P025,899,39.83,2025-08-25,91.37,8.14,1
S019,P028,357,55.2,2025-09-22,45.69,12.14,0
S012,P015,808,52.84,2025-09-24,95.46,12.43,1
S018,P013,949,46.48,2025-07-22,54.29,3.29,1
S001,P023,557,7.56,2025-09-12,98.2,10.71,1
S020,P003,102,35.39,2025-08-17,31.61,7.0,0
S014,P013,932,54.19,2025-07-28,21.52,4.14,1
S016,P004,144,40.63,2025-07-21,67.68,3.14,1
S020,P009,409,69.95,2025-07-30,90.71,4.43,1
S001,P025,244,52.01,2025-08-06,25.51,5.43,1
S004,P004,683,23.16,2025-07-26,25.2,3.86,1
S006,P002,653,35.41,2025-07-27,17.98,4.0,1
S016,P028,562,53.91,2025-07-17,28.57,2.57,1
S006,P019,595,13.75,2025-08-19,38.94,7.29,1
S020,P001,843,80.14,2025-08-30,88.62,8.86,1
S017,P003,880,38.35,2025-09-24,34.92,12.43,1
S011,P024,306,9.37,2025-08-26,28.84,8.29,1
S017,P028,688,92.48,2025-07-19,65.64,2.86,1
S015,P029,127,46.79,2025-07-31,13.3,4.57,1
S002,P019,361,14.18,2025-07-08,90.57,1.29,1
S009,P011,799,75.21,2025-07-23,50.27,3.43,1
S002,P029,788,40.32,2025-09-07,34.23,10.0,1
S018,P009,534,19.05,2025-08-13,38.99,6.43,1
S018,P017,280,9.83,2025-08-18,30.99,7.14,1
S015,P024,574,59.77,2025-09-11,41.96,10.57,1
S009,P017,282,50.35,2025-08-08,60.2,5.71,1
S018,P014,985,43.73,2025-09-26,44.09,12.71,1
S006,P017,662,36.95,2025-07-31,64.68,4.57,1
S020,P018,492,36.25,2025-09-13,64.52,10.86,1
S010,P025,338,1.75,2025-07-26,23.76,3.86,1
